Category,Field ID,Field Name,Type,Foreign Field ID,Include in event log (date of change & the change),
מידע כללי,FIdId,ID נכס לצורך מערכת זו בלבד,int,,,
מידע כללי,StreetName,שם רחוב,nvarchar(MAX),,,
מידע כללי,BldNum,מספר בית,nvarchar(MAX),,,
מידע כללי,BldName,כינוי הבניין,nvarchar(MAX),,,
מידע כללי,BldSivug,סיווג,int,Tbl_Sivug,Yes,
מידע כללי,ShikumStatus,סטטוס שיקום,int,Tbl_StatusShikum,Yes,
מידע כללי,StatusSummary,תמצית מצב,nvarchar(MAX),,Yes,
מידע כללי,StatusSummary_Update_Dt,תאריך עדכון תמצית מצב,date,,,
מידע כללי,complaints,תלונות תושבים,nvarchar(MAX),,Yes,
פרטים מזהים,Longitude,קוארדינטות אורך,float,,,
פרטים מזהים,Latitude,קוארדינטות רוחב,float,,,
פרטים מזהים,GushM,גוש מוסדר,int,,,
פרטים מזהים,ParcelM,חלקה מוסדר,int,,,
פרטים מזהים,GushS,גוש שומה,int,,,
פרטים מזהים,ParcelS,חלקה שומה,int,,,
פרטים מזהים,ParcelTat,תת חלקה,nvarchar(MAX),,,
פרטים מזהים,StreetCode,קוד רחוב,int,,,
פרטים מזהים,TikBinyanNum,מספר תיק בניין (הנדסה),nvarchar(MAX),,,
פרטים מזהים,MivneNum,מספר מבנה (ארנונה),nvarchar(MAX),,,
פרטים מזהים,FiziNum,מספר פיזי (ארנונה),int,,,
פרטים מזהים,SugMivne,סוג המבנה,int,Tbl_SugMivne,,
פרטים מזהים,IsUnitInEmptyBldg,האם מדובר ביחידה בתוך בניין שכולו ריק,int,Tbl_Y_N_Maybe,,
פרטים מזהים,DamagePercentage,אחוז המבנה שמוגדר ניזוק,int,,,
פרטים מזהים,FloorNum,הקומה בה נמצא החלק הנטוש,int,,,
פרטים מזהים,OwnerDetails,פרטי בעלים,nvarchar(MAX),,Yes,
פרטים מזהים,HolderDetails,פרטי מחזיקים,nvarchar(MAX),,Yes,
פרטים מזהים,PropNum,מספר הנכס (אם נכס עירוני),int,,,
מאפייני שימוש,WaterConsumption,האם הייתה צריכת מים ב־6 החודשים האחרונים,int,Tbl_Y_N_Maybe,,
מאפייני שימוש,TimeFromLastWaterConsumption,משך הזמן מאז צריכת המים האחרונה,nvarchar(MAX),,,
מאפייני שימוש,ElectricityConsumption,האם הייתה צריכת חשמל ב־6 החודשים האחרונים,,Tbl_Y_N_Maybe,,
מאפייני שימוש,TimeFromLastElectricityConsumption,משך הזמן מאז השימוש האחרון בחשמל,nvarchar(MAX),,,
מאפייני שימוש,ReasonForNonUse,הסיבה לאי-שימוש,nvarchar(MAX),,Yes,
תכנון ורישוי,Yeud,יעוד,int,Tbl_YK,,
תכנון ורישוי,ActualUse,שימוש בפועל,nvarchar(MAX),,,
תכנון ורישוי,ArnonaCodeShimush,קוד שימוש בארנונה,int,Tbl_SugShimush,,
תכנון ורישוי,HeterBniya,היתר בניה,int,Tbl_IsThere,Yes,
תכנון ורישוי,Tofes4,טופס 4,int,Tbl_IsThere,Yes,
תכנון ורישוי,HarigatBniya,האם יש חריגת בניה,int,Tbl_Y_N_Maybe,Yes,
תכנון ורישוי,IsurShimushHoreg,אישור שימוש חורג,int,Tbl_IsThere,Yes,
תכנון ורישוי,ParcelSize,שטח החלקה (מ״ר),nvarchar(MAX),,,
תכנון ורישוי,BuildRights,"סה""כ זכויות בניה מאושרות (מ״ר)",nvarchar(MAX),,,
תכנון ורישוי,ShtachBanuySum,"סה""כ שטח בנוי (מ״ר)",nvarchar(MAX),,,
תכנון ורישוי,FloorSum,מספר קומות,int,,,
תכנון ורישוי,KidumTichnunStatus,סטטוס קידום תכנון,int,Tbl_KidumTichnun,Yes,
זמינות והיתכנות לשיקום,SugBaalut,סוג הבעלות,int,Tbl_SugBaalut,,
זמינות והיתכנות לשיקום,WantToSell,מוכנות הבעלים למכור,int,Tbl_Y_N_Maybe,Yes,
זמינות והיתכנות לשיקום,WantToRent,מוכנות הבעלים להשכיר,int,Tbl_Y_N_Maybe,Yes,
זמינות והיתכנות לשיקום,HezkaMove,תהליך העברת חזקה בפועל,int,Tbl_HezkaMove,Yes,
זמינות והיתכנות לשיקום,WhatsInside,הימצאות אנשים או חפצים בנכס,int,Tbl_WhatsInside,Yes,
זמינות והיתכנות לשיקום,CanMuniFix,יכולת העירייה לשקם את הנכס בעצמה,int,Tbl_Y_N_Maybe,Yes,
זמינות והיתכנות לשיקום,OwnerPosition,עמדת הבעלים,nvarchar(MAX),,Yes,
זמינות והיתכנות לשיקום,MiuniPosition,עמדת העירייה,nvarchar(MAX),,Yes,
זמינות והיתכנות לשיקום,StandardMark,ציון עמידה בסטנדרט,int,,Yes,
זמינות והיתכנות לשיקום,InPilot,כלול בפיילוט,int,Tbl_Y_N_Maybe,,
סטטוס משפטי,Shiabud,שעבוד,int,Tbl_Y_N_Maybe,Yes,
סטטוס משפטי,OwnerUnderExec,הבעלים תחת הוצאה לפועל,int,Tbl_Y_N_Maybe,Yes,
סטטוס משפטי,LegalDespute,סכסוך משפטי בין הבעלים,int,Tbl_Y_N_Maybe,Yes,
סטטוס משפטי,ArnonaDept,יתרת חוב לארנונה,Money,,Yes,
מצב פיזי,maintenance,תחזוקה,int,Tbl_maintenance,Yes,
מצב פיזי,DangerousBldg,מבנה מסוכן,int,Tbl_DangerousBldg,Yes,
מצב פיזי,Itum,איטום,int,Tbl_Itum,Yes,
פוטנציאל פיתוח,LandQuality,איכות הקרקע,int,Tbl_LandQuality,,
פוטנציאל פיתוח,BldgRightsNotUsed,זכויות בניה לא מנוצלות,int,BuildRights - ShtachBanuySum =,,
פוטנציאל פיתוח,ForShimur,יעוד לשימור,int,Tbl_ForShimur,,
פוטנציאל פיתוח,FutureYeud,יעוד אפשרי בעתיד,nvarchar(MAX),,,
פוטנציאל פיתוח,FutureUse,שימוש אפשרי בעתיד,nvarchar(MAX),,,
אכיפה,PikuachKlali,פיקוח כללי,nvarchar(MAX),,Yes,
אכיפה,PikuachAlBniya,פיקוח על הבניה,nvarchar(MAX),,Yes,
אכיפה,TzavDangerBldg,צו מבנה מסוכן,nvarchar(MAX),,Yes,
אכיפה,TzavShiputzFronts,צו שיפוץ חזיתות,nvarchar(MAX),,Yes,
